id,user_created_time,user,user_description,user_followers_count,user_profile_location,tweet_geo_loc,tweets,likes,time
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,@malaysiakini #perikatannasional no more relevant!!!,0,2022-05-20 11:22:18+00:00
1208567873716637696,Sun Dec 22 02:00:34 +0000 2019,FFarasu,"Farasu Drummer, Metal Politician & Antique Collectors",338,,,"RT @P126Pkn: 20.5.2022 | TITI, JELEBU
Program Saringan Kesihatan Percuma B40 berumur 40 ke atas anjuran bersama Sayap Bersekutu, Pertubuhan…",0,2022-05-20 09:03:58+00:00
1284426941265661952,Sat Jul 18 09:58:29 +0000 2020,P126Pkn,Non Goverment Organisation (NGO),81,,,"20.5.2022 | TITI, JELEBU
Program Saringan Kesihatan Percuma B40 berumur 40 ke atas anjuran bersama Sayap Bersekutu,… https://t.co/6XYs5Ubqmu",2,2022-05-20 08:07:52+00:00
1247206618028105735,Mon Apr 06 16:56:56 +0000 2020,rosolwahid11,"Laman twitter rasmi Dato' Haji Rosol Wahid
- Ahli Parlimen Hulu Terengganu P038",702,,,Dalam masa sama dapat membantu mengekang kegiatan penyeludupan barangan bersubsidi ke negara jiran kerana barangan… https://t.co/jydcUc2pKM,0,2022-05-19 09:25:34+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,@MalaysiaGazette #PPBM #Perikatannasional Tak relevant lagi,0,2022-05-19 01:18:59+00:00
2765707316,Mon Aug 25 08:14:49 +0000 2014,_rezarazali_,"Ejen Penerangan PAS Pusat @PasPusat

Perkasakan #MN, Pertahankan #PN

#ejenlantikansendiri",1954,"Kuala Lumpur, Wilayah Persekut",,"RT @harakahdailyHD: PN tidak mengambil sebarang tindakan kerana PAS sentiasa berpegang kepada prinsip penyatuan ummah.

#HarakahDaily #Muaf…",0,2022-05-18 23:13:47+00:00
91965564,Mon Nov 23 08:30:56 +0000 2009,harakahdailyHD,"HarakahDaily : Portal media atas talian untuk rakyat Malaysia. Berita Politik, Agama, Nasional, Kebajikan dan pelbagai rencana ilmu menarik. Benar & Inklusif.",151172,"Jalan Pahang Barat, KL",,"PN tidak mengambil sebarang tindakan kerana PAS sentiasa berpegang kepada prinsip penyatuan ummah.

#HarakahDaily… https://t.co/RCLQEQp0YS",7,2022-05-18 21:37:28+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,#Pakatanharapan &amp; Puaka @chedetofficial tolak Pilihanraya Awal Sebab Ketandusan modal Untuk Serang #Barisannasional… https://t.co/OpQTvqr1sj,9,2022-05-16 10:19:27+00:00
1133514959755784192,Tue May 28 23:26:40 +0000 2019,BahangD,aaaaah penipuan berlandasan fikiran,219,"Malacca, Malaysia",,"RT @NST_Online: #NSTnation ""We see a larger agenda not just a party agenda (or) party politics alone, a larger agenda as stressed by #Pas p…",0,2022-05-16 09:16:20+00:00
55186601,Thu Jul 09 09:04:01 +0000 2009,NST_Online,"News, views and up-to-date reports from Malaysia's premier news source. All that and more at https://t.co/LnfynacdW7",784854,Malaysia,,"#NSTnation ""We see a larger agenda not just a party agenda (or) party politics alone, a larger agenda as stressed b… https://t.co/uAcodnQrtp",0,2022-05-16 09:10:18+00:00
997112588679827456,Thu May 17 13:52:21 +0000 2018,ManinderjitMike,"Work-Private Firm;Edu-MBA;Olympian, World Cupper&Asian All Star;Favs - Economic,Politics&Sports. Husband&Father to 3 Angels. Personal views...",362,Malaysia,,"RT @PejaOfPerak: Selamat Ulang Tahun Kelahiran buat YBhg Tan Sri @MuhyiddinYassin.

Semoga di hari yang bermakna ini Allah SWT mengurniakan…",0,2022-05-15 07:14:53+00:00
1040423091568959488,Fri Sep 14 02:12:49 +0000 2018,PejaOfPerak,"Minister of Youth & Sports, Malaysia.",12957,Putrajaya,,"Semoga semangat perjuangan ini berterusan dan menjadi inspirasi buat seluruh ahli parti dan rakyat di Malaysia.

Se… https://t.co/FHQuXkLN1p",1,2022-05-15 03:03:36+00:00
1040423091568959488,Fri Sep 14 02:12:49 +0000 2018,PejaOfPerak,"Minister of Youth & Sports, Malaysia.",12957,Putrajaya,,"Selamat Ulang Tahun Kelahiran buat YBhg Tan Sri @MuhyiddinYassin.

Semoga di hari yang bermakna ini Allah SWT mengu… https://t.co/i6S0tREF39",4,2022-05-15 03:02:48+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,"Saya Akan Sertai Parti @MakkalSaktiOrg Dalam Masa Terdekat.
Misi Hebatkan Lagi Sokongan Kaum India Dan Lain2 Kepada… https://t.co/qhwPZwzWKN",1,2022-05-20 16:08:38+00:00
145574413,Wed May 19 09:06:22 +0000 2010,ChrystianTeh,“A well mannered motherfucker.” | Tweets are solely on my own.,270,"Selangor, Malaysia",,"BN = Barang Naik.
Only props I give to @BNrasmi is, one very important thing they managed to lower down.
It is Nila… https://t.co/QRdEGa3jua",1,2022-05-20 02:21:22+00:00
1316555586423549952,Thu Oct 15 01:45:29 +0000 2020,mysabahdiary,"The official channel of MYDIARY@OFFICIAL.

This channel will bring you the latest information, including COVID-19 updates, cultural, political news and more.",133,Malaysia,,"May 19 - #Sabah
The solidarity cooperation committee proposed by #GabunganRakyatSabah (#GRS) has received a positiv… https://t.co/fGRtxfnKdS",0,2022-05-19 13:51:46+00:00
55186601,Thu Jul 09 09:04:01 +0000 2009,NST_Online,"News, views and up-to-date reports from Malaysia's premier news source. All that and more at https://t.co/LnfynacdW7",784854,Malaysia,,#NSTnation #Sabah #BarisanNasional (BN) is positive about the formation of a solidarity cooperation committee with… https://t.co/aQ7mjwXJab,2,2022-05-19 13:39:09+00:00
248212113,Sun Feb 06 14:13:03 +0000 2011,eryazmi,27 / Senior Product Specialist / Trader / #COYG / DM for personal coaching and Signal RM50 📈,3197,Selangor,,RT @Daie_forek: Bersih dah sungai klang. Alhamdulillah. Inilah kerajaan rakyat #BarisanNasional https://t.co/sOA21Qf1Y3,0,2022-05-19 10:56:38+00:00
969672270300921856,Fri Mar 02 20:34:19 +0000 2018,Daie_forek,"Unlicensed Financial Planner | MT4 Uncertified Trainer |
https://t.co/tyqFRgQohB | #JualLemang",1397,Kuala Lumpur Federal Territory,,Bersih dah sungai klang. Alhamdulillah. Inilah kerajaan rakyat #BarisanNasional https://t.co/sOA21Qf1Y3,5,2022-05-19 10:43:44+00:00
914418227827982337,Sun Oct 01 09:14:29 +0000 2017,fauzihamid78,,106,,,"RT @ahmadmaslan: #HariRaya #BN #BarisanNasional dgn staf Ibu Pejabat &amp; jemputan

BN bangkit drpd kalah #PRU14 dgn menang di 7 PRK. Drpd 1 k…",0,2022-05-17 09:21:33+00:00
89654231,Fri Nov 13 08:09:41 +0000 2009,ahmadmaslan,"SUA UMNO, MP Pontian. Berjuang demi Agama, Bangsa & Tanahair (ABATA) agar rakyat negara ini tanpa mengira kaum hingga ke anak cucu 1Malaysia hidup aman, berjaya",195478,Pontian,,"#HariRaya #BN #BarisanNasional dgn staf Ibu Pejabat &amp; jemputan

BN bangkit drpd kalah #PRU14 dgn menang di 7 PRK. D… https://t.co/KoQG84PIBR",16,2022-05-17 09:18:51+00:00
1163760855000875009,Tue Aug 20 10:33:16 +0000 2019,MIC_Malaysia,"Official Twitter Page for Malaysian Indian Congress #MIC, the largest party representing the Indians in Malaysia & a founding member of Barisan Nasional. ⚖️🇲🇾",1813,"Kuala Lumpur City, Kuala Lumpu",,#INFOMIC #MICNews #BeritaMIC #MICMemimpin #MICLeads #MICCares #MICPrihatin #MICMalaysia #KeluargaMalaysia #BarisanNasional,1,2022-05-17 09:15:53+00:00
1163760855000875009,Tue Aug 20 10:33:16 +0000 2019,MIC_Malaysia,"Official Twitter Page for Malaysian Indian Congress #MIC, the largest party representing the Indians in Malaysia & a founding member of Barisan Nasional. ⚖️🇲🇾",1813,"Kuala Lumpur City, Kuala Lumpu",,#INFOMIC #MICNews #BeritaMIC #MICMemimpin #MICLeads #MICCares #MICPrihatin #MICMalaysia #KeluargaMalaysia… https://t.co/u4RPkyu5hs,1,2022-05-17 09:06:51+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,@MalaysiaGazette Puaka @chedetofficial Amat2 Risau dengan Kebangkitan Barisannasional,0,2022-05-17 02:48:17+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,@BNCommsOfficial Puaka @chedetofficial Risau dengan Kebangkitan Barisannasional,2,2022-05-17 02:47:26+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,@fmtoday #BARISANNASIONAL Bukan macam #Pakatanharapan!! Janji Dan Kencing,0,2022-05-16 14:39:22+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,#Pakatanharapan &amp; Puaka @chedetofficial tolak Pilihanraya Awal Sebab Ketandusan modal Untuk Serang #Barisannasional… https://t.co/OpQTvqr1sj,9,2022-05-16 10:19:27+00:00
1163760855000875009,Tue Aug 20 10:33:16 +0000 2019,MIC_Malaysia,"Official Twitter Page for Malaysian Indian Congress #MIC, the largest party representing the Indians in Malaysia & a founding member of Barisan Nasional. ⚖️🇲🇾",1813,"Kuala Lumpur City, Kuala Lumpu",,#MICMalaysia  #TeachersDay #KeluargaMalaysia #BarisanNasional,1,2022-05-16 10:14:49+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,@501Awani Hanya #Barisannasional Mampu Bina Semula Ekonomi Malaysia Yang dijahanamkan Oleh puak Hancing 🐖🐖 Selama 22 Bulan,0,2022-05-16 08:05:57+00:00
1256546287,Sun Mar 10 09:10:06 +0000 2013,thinalan,"National MIC Information Chief.
Tweets are my own, Retweets are not endorsed !",2581,,,"SELAMAT HARI GURU kepada semua guru yang tidak pernah jemu mendidik anak bangsa.

Terima kasih atas segala pengorba… https://t.co/9nfNDw88yt",2,2022-05-16 03:09:32+00:00
1171700077334675457,Wed Sep 11 08:20:59 +0000 2019,miqaelridzuan,,1012,,,@UMonline Insya Allah #Barisannasional mampu menang serta bangkit kembali dlm PRU 15,2,2022-05-16 02:14:58+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,@UMonline Kembalikan GST &amp; 100% Kabinet Barisannasional Tanpa 🐸,0,2022-05-16 01:54:04+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15219,"Petaling, Wilayah Persekutuan ",,"@UMonline Mampu Dan Terbukti!!
#Barisannasional pilihan Terbaik Untuk Negara",1,2022-05-16 01:50:44+00:00
