id,user_created_time,user,user_description,user_followers_count,user_profile_location,tweet_geo_loc,tweets,likes,time
608842043,Fri Jun 15 06:44:19 +0000 2012,RyzerDark,,7,,,"@brut3c0ck @FMNglobal @rafiziramli @pakatanharapan_ @KEADILAN Isnt that what happened in GE14?, trying the same thi… https://t.co/IaXQQ04lWK",0,2022-05-24 01:29:38+00:00
1463032736650719233,Tue Nov 23 06:33:04 +0000 2021,AhmadAlbabLah,Berani kerana benar!!🇲🇾🇲🇾🇲🇾,20,,,Parti huru hara. Pemilihan pun huru hara. Apa nak jadi parti cegini. Cam ne nak jamin kesejahteraan rakyat kalau ma… https://t.co/zMH9OqUvX3,3,2022-05-24 01:15:02+00:00
1317177412497534976,Fri Oct 16 18:55:49 +0000 2020,brut3c0ck,My name says it all. Want a piece of me?,7,,,@RyzerDark @FMNglobal @rafiziramli @pakatanharapan_ @KEADILAN Well did you fix it before recent elections? Many peo… https://t.co/2DI8a9xcNL,1,2022-05-24 00:52:34+00:00
721770302,Sat Jul 28 08:16:54 +0000 2012,jaga1314,,32,,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-24 00:49:24+00:00
1454070515455328261,Fri Oct 29 13:00:44 +0000 2021,Lifehack05,Fun fact carbon base,0,,,@NgaKorMing @pakatanharapan_ @dapmalaysia Nacassrime at highest level in expenses of the people but majority loves… https://t.co/twFuUr2sLe,0,2022-05-24 00:24:28+00:00
108195202,Mon Jan 25 04:36:28 +0000 2010,PRAbdullah,FREE 🇵🇸,514,"Kuala Lumpur, Malaysia",,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-24 00:14:34+00:00
1317177412497534976,Fri Oct 16 18:55:49 +0000 2020,brut3c0ck,My name says it all. Want a piece of me?,7,,,"@NgaKorMing @pakatanharapan_ @dapmalaysia When @MuhyiddinYassin was PM, he kept #kleptocrats at bay, almost silent.… https://t.co/Xs59pad0Nm",1,2022-05-24 00:01:54+00:00
482917485,Sat Feb 04 12:59:49 +0000 2012,SangkulRimbas,"In the end, we will remember not the words of our enemies, but the silence of our friends. —Dr. Martin Luther King, Jr.",158,Johor Bahru,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-24 00:00:28+00:00
1956391519,Sat Oct 12 10:39:07 +0000 2013,hafezalmohd,,41,KualaLumpurMalaysia,,@Edie57929225 Ni awal tahun bulan may terus begini harga telur saja @IsmailSabri60 @MuhyiddinYassin… https://t.co/5zVuv5rtaa,1,2022-05-23 23:33:32+00:00
401491873,Sun Oct 30 16:38:45 +0000 2011,Gana_from_MYS,"If you can't get a miracle, become one - Nick Vujicic",103,"Kuala Lumpur, Malaysia",,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 23:26:15+00:00
627106856,Thu Jul 05 06:09:20 +0000 2012,afieqkurrien,Love. Trust. Respect. ⚡️Islam. Iman. Ihsan(ehsan). ⚡️SABR.⚡️Sayang.. Kamu ada dimana?.. 🎶,181,Musafir,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 23:24:19+00:00
107887553,Sun Jan 24 03:06:11 +0000 2010,Urangsabah,"Product of the 60s, Built to Last. A Simple Sabahan Malaysian with no political affiliation born b4 Malaysia came 2b. A Catholic and Proud.",3477,"Kota Kinabalu, Sabah",,@AkuSabah @MasidiM @SabahInfo @KKCity @501Awani @SabahOnBorneo @sabahmajujaya @MusaHjAman @likas_official… https://t.co/1ZWdqH28kf,0,2022-05-23 23:07:45+00:00
315193143,Sat Jun 11 13:16:20 +0000 2011,VincentLeong888,,39,Kuala Lumpur ,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 23:01:24+00:00
244943240,Sun Jan 30 14:06:07 +0000 2011,mynihar74,,24,,,@NgaKorMing @pakatanharapan_ @dapmalaysia Macam mana boleh curi? Jika mereka hari kena kencing dalam mulut,0,2022-05-23 22:50:17+00:00
358277300,Fri Aug 19 17:25:52 +0000 2011,NieFeng80,simple. manutd die hard fan also metallica family. malaysian. muslim.,217,earth,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 22:13:06+00:00
2595710508,Mon Jun 30 03:36:34 +0000 2014,aMabzing,"If we are optimistic, life's challenges are blessings in disguise.",27,"Petaling, Selangor",,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 22:10:34+00:00
812533802,Sun Sep 09 06:36:54 +0000 2012,MAR_TheOfficial,,539,,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 21:53:33+00:00
308924626,Wed Jun 01 07:02:06 +0000 2011,rahim226,"Bismillah,  i am 50+ yrs old, knowledge n truths seeker,  supports credbility,  justice, honesty n integrity",437,malaysia,,@NgaKorMing @pakatanharapan_ @dapmalaysia Only in boleh land and to the drain,1,2022-05-23 21:07:20+00:00
107887553,Sun Jan 24 03:06:11 +0000 2010,Urangsabah,"Product of the 60s, Built to Last. A Simple Sabahan Malaysian with no political affiliation born b4 Malaysia came 2b. A Catholic and Proud.",3477,"Kota Kinabalu, Sabah",,RT @Urangsabah: @AkuSabah @MasidiM @SabahInfo @KKCity @501Awani @SabahOnBorneo @sabahmajujaya @MusaHjAman @likas_official @RANAUinfo @tawau…,0,2022-05-23 21:04:12+00:00
2227074180,Mon Dec 02 18:18:55 +0000 2013,_ShafiqAmirul,#antiart #antithesis,492,Malaysia,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 20:38:19+00:00
81013401,Fri Oct 09 03:08:04 +0000 2009,dondiego477,,392,,,"@thevibesnews @Ambiga_S @pakatanharapan_ Talk so much, please compete in the election.",0,2022-05-23 17:11:41+00:00
1435412118212206592,Wed Sep 08 01:18:30 +0000 2021,NagavalliAnnam2,"Retired. 22 years in World Bank as Financial Sector Expert. Former Bank Negara legal expert.  Havard Law School, Havard Business School, University Malaya.",3,"Petaling Jaya, Selangor",,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 16:52:34+00:00
1130660112022925317,Tue May 21 02:22:32 +0000 2019,Mithran89554523,Wielder of the flame of Anor,7,"Selangor, Malaysia",,@NgaKorMing @pakatanharapan_ @dapmalaysia Tengok citer Alladin ke?,0,2022-05-23 16:51:20+00:00
967997941448257536,Mon Feb 26 05:41:08 +0000 2018,MasCheckBalance,"As NGO & people's voice, our interests are politics & society. Together we make 🇲🇾 better again!",94,,,"@NgaKorMing @pakatanharapan_ @dapmalaysia 1 more: Steal billions dapat Tan Sri, Tun. 🤦🏻‍♀️ Boleh tanya… https://t.co/sxz1Hg5zX4",1,2022-05-23 16:08:56+00:00
1215506215402258433,Fri Jan 10 05:30:52 +0000 2020,davetoh_2020,"Never mix religion with politics. Religion is a personal matter with God. No one else. 
#NotMyPM  #NotMyGovernment #KerajaanGagal #Lawan",107,,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 15:53:11+00:00
1457254276535775234,Sun Nov 07 07:51:31 +0000 2021,dermainejupri,Continue to sing even if you're in pain.,166,,,@RameshRaoAKS @KEADILAN @pakatanharapan_ @fahmi_fadzil @SetiaKEADILAN @amkselangor @AMKMalaysia @amkjohorrasmi Diam… https://t.co/CP9CL0OMgS,1,2022-05-23 15:42:37+00:00
885867152162541568,Fri Jul 14 14:22:42 +0000 2017,bachok_ahmad,,508,,,"RT @rocketmen9: Syukur berjaya tumbangkan @pakatanharapan_ @dapmalaysia @PartiAmanah @KEADILAN 

Terbaik khemah besar @MSabu_Official @anth…",0,2022-05-23 14:50:39+00:00
1174681236784082945,Thu Sep 19 13:46:56 +0000 2019,rocketmen9,berjambang l peminat bollywood l kerja gomen l aktivis rakyat marhaen,151,,,"Syukur berjaya tumbangkan @pakatanharapan_ @dapmalaysia @PartiAmanah @KEADILAN 

Terbaik khemah besar… https://t.co/M7BaE08sTW",0,2022-05-23 14:44:19+00:00
1964132558,Wed Oct 16 06:21:04 +0000 2013,aliffahme,,528,This world.,,RT @AKUANAKWATAN: Ringgit paling nazah apabila kerajaan persekutuan ialah barua² @pakatanharapan_ @PPBMofficial @MuhyiddinYassin @chedetoff…,0,2022-05-23 14:30:30+00:00
1321577147715133441,Wed Oct 28 22:19:00 +0000 2020,affwanaffyan,"Melayu
Islam
Malaysian

Bekerja Di Kaki Ku Sendiri",17,"Bandar Kuala Lumpur, Wilayah P",,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 14:04:16+00:00
948837162945888256,Thu Jan 04 08:43:03 +0000 2018,hjh_hidayah,,68,Malaysia,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 14:03:49+00:00
31302091,Wed Apr 15 01:53:45 +0000 2009,ulamwe,City dweller wanting to be nature enthusiast. Patriotic for justice. 🚀🇲🇾,258,Malaysia,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 13:51:47+00:00
763735015888871424,Thu Aug 11 13:53:12 +0000 2016,Nalzam7,,0,,,@adzman86 @pakatanharapan_ @KEADILAN @JohariAbdul5 Biarlah dia nak pegang jawatan duta tu... Sebelum tutup mata...,0,2022-05-23 13:44:20+00:00
930758950210830338,Wed Nov 15 11:26:41 +0000 2017,mansurhashimi,,147,,,"RT @AKUANAKWATAN: Faktanya @dapmalaysia @pakatanharapan_ tohmah @umnoonline @barisanasional menang PRN Johor kerana pengundi yang rendah.
T…",0,2022-05-23 13:41:05+00:00
1495346014064361475,Sun Feb 20 10:34:21 +0000 2022,autumn5517,Freelance-prenuer • Stream for fun • It's me Bert,40,,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 13:19:04+00:00
610439794,Sun Jun 17 02:17:24 +0000 2012,AKUANAKWATAN,"Anak Watan Jati @ Tanah Melayu 
Ahlul Sunnah Wal Jamaah
Musuh aku adalah semua yang memusuhi Sunnah Wal Jamaah dan puak2 Anti Islam Anti Melayu Anti Raja Melayu",4167,Malaysia,,Ringgit paling nazah apabila kerajaan persekutuan ialah barua² @pakatanharapan_ @PPBMofficial @MuhyiddinYassin… https://t.co/26OmGRgd6I,6,2022-05-23 12:38:32+00:00
610439794,Sun Jun 17 02:17:24 +0000 2012,AKUANAKWATAN,"Anak Watan Jati @ Tanah Melayu 
Ahlul Sunnah Wal Jamaah
Musuh aku adalah semua yang memusuhi Sunnah Wal Jamaah dan puak2 Anti Islam Anti Melayu Anti Raja Melayu",4167,Malaysia,,Tapi macam biasa barua² macai² dari @pakatanharapan_  @PASPusat bodoh pembangkang ketika itu (PH dan PAS) bantah da… https://t.co/TYpiMl5gI5,8,2022-05-23 12:35:13+00:00
1956391519,Sat Oct 12 10:39:07 +0000 2013,hafezalmohd,,41,KualaLumpurMalaysia,,@501Awani Kerajaan tebuk atap sengal dan bodoh malas pantau harga semua keperluan barang harian naik mendadak… https://t.co/80OxAlflo0,0,2022-05-23 12:25:30+00:00
92917860,Fri Nov 27 06:40:25 +0000 2009,NgaKorMing,"Lawyer by profession, DAP Parliamentary Leader, Ex Dewan Rakyat Deputy Speaker, Perak DAP Chairman, MP for Teluk Intan, SA for Aulong & a patriotic Malaysian",78028,,,Kaunter khidmat Pakatan Harapan menanti anda. Setiap hari pasukan khidmat kami akan mengadakan khidmat kaunter berg… https://t.co/mOT1cRyriD,4,2022-05-23 11:59:39+00:00
608842043,Fri Jun 15 06:44:19 +0000 2012,RyzerDark,,7,,,@brut3c0ck @FMNglobal @rafiziramli @pakatanharapan_ @KEADILAN How do you know they cant fix it? PH is directionless… https://t.co/fv8pATFLK4,0,2022-05-23 11:46:16+00:00
41502535,Thu May 21 01:43:27 +0000 2009,SiamLaksa,"Views are my own. RTs are not endorsements.
Pseudonym used in order to protect my job/client.",1461,Asia,,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 11:43:13+00:00
1964132558,Wed Oct 16 06:21:04 +0000 2013,aliffahme,,528,This world.,,"RT @AKUANAKWATAN: Faktanya @dapmalaysia @pakatanharapan_ tohmah @umnoonline @barisanasional menang PRN Johor kerana pengundi yang rendah.
T…",0,2022-05-23 11:42:33+00:00
2604380232,Sat Jul 05 00:18:42 +0000 2014,shiafiku,Kleptocracy is a government whose corrupt leaders use political power to appropriate the wealth of their nation #kerajaangagal #ayuhmalaysia,351,"Selangor, Malaysia",,"RT @NgaKorMing: Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama #DemiMalaysia @p…",0,2022-05-23 11:28:05+00:00
1513846269571399681,Tue Apr 12 11:48:12 +0000 2022,ChewLeongChoon2,,6,,,"@NgaKorMing @pakatanharapan_ @dapmalaysia We All now are not govern by  good leaders ,we only voted robbers to stea… https://t.co/uXvDX0mTad",3,2022-05-23 11:26:52+00:00
92917860,Fri Nov 27 06:40:25 +0000 2009,NgaKorMing,"Lawyer by profession, DAP Parliamentary Leader, Ex Dewan Rakyat Deputy Speaker, Perak DAP Chairman, MP for Teluk Intan, SA for Aulong & a patriotic Malaysian",78028,,,"Steal an Apple, you are a thief. Steal a government, you are a statesmen. Deep. Very deep. #BangkitBersama… https://t.co/weaCYzGLjP",204,2022-05-23 11:21:45+00:00
1317177412497534976,Fri Oct 16 18:55:49 +0000 2020,brut3c0ck,My name says it all. Want a piece of me?,7,,,"@RyzerDark @FMNglobal @rafiziramli @pakatanharapan_ @KEADILAN Plenty of ""ifs"" which were not fixed before recent PR… https://t.co/JNxRzeZdTB",1,2022-05-23 10:36:04+00:00
610439794,Sun Jun 17 02:17:24 +0000 2012,AKUANAKWATAN,"Anak Watan Jati @ Tanah Melayu 
Ahlul Sunnah Wal Jamaah
Musuh aku adalah semua yang memusuhi Sunnah Wal Jamaah dan puak2 Anti Islam Anti Melayu Anti Raja Melayu",4167,Malaysia,,@msianinsight Was it @guanenglim @pakatanharapan_ slash the subsidy during 22 months ph in power ? untrustworthy dap and ph.,1,2022-05-23 10:27:17+00:00
608842043,Fri Jun 15 06:44:19 +0000 2012,RyzerDark,,7,,,@brut3c0ck @FMNglobal @rafiziramli @pakatanharapan_ @KEADILAN And trying again with a party that betray the voters… https://t.co/03fSZchuzG,0,2022-05-23 10:03:07+00:00
608842043,Fri Jun 15 06:44:19 +0000 2012,RyzerDark,,7,,,"@brut3c0ck @FMNglobal @rafiziramli @pakatanharapan_ @KEADILAN They can win, if they clean up, bring up new manageme… https://t.co/bmWJXlRKiT",0,2022-05-23 10:00:01+00:00
610439794,Sun Jun 17 02:17:24 +0000 2012,AKUANAKWATAN,"Anak Watan Jati @ Tanah Melayu 
Ahlul Sunnah Wal Jamaah
Musuh aku adalah semua yang memusuhi Sunnah Wal Jamaah dan puak2 Anti Islam Anti Melayu Anti Raja Melayu",4167,Malaysia,,Faktanya @dapmalaysia @pakatanharapan_ tohmah @umnoonline @barisanasional menang PRN Johor kerana pengundi yang ren… https://t.co/l9opOARHah,6,2022-05-23 09:17:15+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15216,"Petaling, Wilayah Persekutuan ",,"Pemilihan Parti @KEADILAN #PKR Jelas Tercemar Dan Memalukan!!
Justeru Saya Mohon #Anwaribrahim buat ForenSEX dengan… https://t.co/HrIV8ilZys",2,2022-05-23 09:08:22+00:00
201769986,Tue Oct 12 15:48:11 +0000 2010,junzwong,"Let us all unite as Sabahans to regain Sabah rightful autonomy while helping fellow Malaysians to uphold freedom, democracy, integrity & liberty",3477,Kota Kinabalu,,RT @Urangsabah: @AkuSabah @MasidiM @SabahInfo @KKCity @501Awani @SabahOnBorneo @sabahmajujaya @MusaHjAman @likas_official @RANAUinfo @tawau…,0,2022-05-23 08:35:10+00:00
201769986,Tue Oct 12 15:48:11 +0000 2010,junzwong,"Let us all unite as Sabahans to regain Sabah rightful autonomy while helping fellow Malaysians to uphold freedom, democracy, integrity & liberty",3477,Kota Kinabalu,,RT @Urangsabah: @AkuSabah @MasidiM @SabahInfo @KKCity @501Awani @SabahOnBorneo @sabahmajujaya @MusaHjAman @likas_official @RANAUinfo @tawau…,0,2022-05-23 08:35:00+00:00
201769986,Tue Oct 12 15:48:11 +0000 2010,junzwong,"Let us all unite as Sabahans to regain Sabah rightful autonomy while helping fellow Malaysians to uphold freedom, democracy, integrity & liberty",3477,Kota Kinabalu,,RT @Urangsabah: @AkuSabah @MasidiM @SabahInfo @KKCity @501Awani @SabahOnBorneo @sabahmajujaya @MusaHjAman @likas_official @RANAUinfo @tawau…,0,2022-05-23 08:34:48+00:00
1317177412497534976,Fri Oct 16 18:55:49 +0000 2020,brut3c0ck,My name says it all. Want a piece of me?,7,,,"@501Awani Masa @MuhyiddinYassin jadi PM, geng #klusterMahkamah tak berani berkutik mcm skrg, apakan daya geng… https://t.co/da3Ul3Wc6W",2,2022-05-23 08:13:04+00:00
1317177412497534976,Fri Oct 16 18:55:49 +0000 2020,brut3c0ck,My name says it all. Want a piece of me?,7,,,@RyzerDark @FMNglobal @rafiziramli @pakatanharapan_ @KEADILAN PN is just saving Bumi voters from continued oppressi… https://t.co/3LK89tPHdD,1,2022-05-23 07:50:51+00:00
1487464262620495874,Sat Jan 29 16:35:14 +0000 2022,anakkg66,"Benci Pada Pimpinan Munafiq, Rakyat Digulakan Dengan Kebaikan Untuk Tutup kebejatan Dan Utk Keuntungan Diri Rakyat Jadi Taruhan",3,,,@pakatanharapan_  pimpinan PH jgn jd bangang.. ghairah sgt dgn RUNDINGAN.. last sampai mampus rakyat tal akan perca… https://t.co/BLhFDww8KB,0,2022-05-23 07:23:08+00:00
1240085020607311873,Wed Mar 18 01:18:23 +0000 2020,bisonspectrum,bison,34,,,"RT @MaranMatters: @pakatanharapan_ is hard up for position and power.
@anwaribrahim, @MSabu_Official will do anything for political power a…",0,2022-05-23 06:03:08+00:00
107887553,Sun Jan 24 03:06:11 +0000 2010,Urangsabah,"Product of the 60s, Built to Last. A Simple Sabahan Malaysian with no political affiliation born b4 Malaysia came 2b. A Catholic and Proud.",3477,"Kota Kinabalu, Sabah",,@AkuSabah @MasidiM @SabahInfo @KKCity @501Awani @SabahOnBorneo @sabahmajujaya @MusaHjAman @likas_official… https://t.co/1vhwFBLyJw,1,2022-05-23 05:42:37+00:00
1493410394756759558,Tue Feb 15 02:24:03 +0000 2022,chiongsern_n51,ADUN Bukit Batu | A loving husband & a father of 3 | Managing Director of Lovena Travel & Tours Sdn Bhd | Setiausaha Cabang PKR Tebrau,763,"Kulai Jaya, Johor",,"Selesai taklimat penggunaan sistem E-soal bersama ADUN-ADUN Johor di Bangunan Sultan Ismail, Kota Iskandar.

Sempat… https://t.co/zCXJLGqCEg",3,2022-05-23 05:31:18+00:00
1362093232880979968,Wed Feb 17 17:35:21 +0000 2021,PhPartiSampah,Pakatan Harapan Kencing/Fitnah/Rasuah,185,,,Dalam PHantat ramai puak ni. tak dinafikan parti lain ada je . tapi puak @pakatanharapan_ penyembah bang non dan to… https://t.co/7TMQQpuH1D,5,2022-05-23 05:27:00+00:00
47298848,Mon Jun 15 09:29:25 +0000 2009,eddydaud,"'What you know, you must know very well' - Eddy Daud",8850,"ÜT: 1.50225,103.742992",,"RT @MaranMatters: @pakatanharapan_ is hard up for position and power.
@anwaribrahim, @MSabu_Official will do anything for political power a…",0,2022-05-23 05:20:02+00:00
